814,Pennsylvania,PA
815,Illinois,IL
816,Missouri,MO
817,Texas,TX
818,California,CA
828,North Carolina,NC
830,Texas,TX
831,California,CA
832,Texas,TX
835,Pennsylvania,PA
843,South Carolina,SC
845,New York,NY
847,Illinois,IL
848,New Jersey,NJ
850,Florida,FL
856,New Jersey,NJ
857,Massachusetts,MA
858,California,CA
859,Kentucky,KY
860,Connecticut,CT
862,New Jersey,NJ
863,Florida,FL
864,South Carolina,SC
865,Tennessee,TN
870,Arkansas,AR
872,Illinois,IL
878,Pennsylvania,PA
901,Tennessee,TN
903,Texas,TX
904,Florida,FL
906,Michigan,MI
907,Alaska,AK
908,New Jersey,NJ
909,California,CA
910,North Carolina,NC
912,Georgia,GA
913,Kansas,KS
914,New York,NY
915,Texas,TX
916,California,CA
917,New York,NY
918,Oklahoma,OK
919,North Carolina,NC
920,Wisconsin,WI
925,California,CA
928,Arizona,AZ
931,Tennessee,TN
936,Texas,TX
937,Ohio,OH
940,Texas,TX
941,Florida,FL
947,Michigan,MI
949,California,CA
952,Minnesota,MN
954,Florida,FL
956,Texas,TX
959,Connecticut,CT
970,Colorado,CO
971,Oregon,OR
972,Texas,TX
973,New Jersey,NJ
975,Missouri,MO
978,Massachusetts,MA
979,Texas,TX
980,North Carolina,NC
984,North Carolina,NC
985,Louisiana,LA
989,Michigan,MI